Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-01-03T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,GOOG,0,7,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,GOOG,0,-7,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,GOOG,0,7,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,GOOG,0,-7,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,GOOG,0,7,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,GOOG,0,-7,Stop Limit,Canceled,0,"" 
2024-01-08T14:30:00Z,AAPL,183.24854856,5,Stop Limit,Filled,916.2427428,"" 
2024-01-08T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-01-08T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-01-08T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-01-08T14:30:00Z,GOOG,139.237156608,7,Stop Limit,Filled,974.660096256,"" 
2024-01-08T14:30:00Z,GOOG,0,-7,Stop Limit,Canceled,0,"" 
2024-01-08T19:12:00Z,AAPL,0,-5,Limit,Canceled,0,"" 
2024-01-08T19:12:00Z,AAPL,0,-5,Stop Market,Canceled,0,"" 
2024-01-08T19:35:00Z,GOOG,0,-7,Limit,Canceled,0,"" 
2024-01-08T19:35:00Z,GOOG,0,-7,Stop Market,Canceled,0,"" 
2024-01-09T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-01-09T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-01-10T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-01-10T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-01-11T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-01-11T14:30:00Z,META,360.97470992,-2,Stop Limit,Filled,-721.94941984,"" 
2024-01-11T14:34:00Z,GOOG,0,-7,Stop Market,Canceled,0,"" 
2024-01-11T16:24:00Z,META,0,2,Limit,Canceled,0,"" 
2024-01-11T16:24:00Z,META,371.8,2,Stop Market,Filled,743.6,"" 
